step,active_behavior
545,motive_4
546,motive_2
547,motive_2
548,motive_4
549,motive_4
550,motive_7
551,motive_7
552,motive_3
553,motive_3
554,motive_8
555,motive_8
556,motive_2
557,motive_2
558,motive_4
559,motive_4
560,motive_7
561,motive_7
562,motive_3
563,motive_3
564,motive_2
565,motive_2
566,motive_4
567,motive_4
568,motive_2
569,motive_2
570,motive_3
571,motive_3
572,motive_4
573,motive_4
574,motive_2
575,motive_2
576,motive_3
577,motive_3
578,motive_8
579,motive_8
580,motive_4
581,motive_4
582,motive_3
583,motive_3
584,motive_2
585,motive_2
586,motive_4
587,motive_4
588,motive_7
589,motive_7
590,motive_8
591,motive_8
592,motive_3
593,motive_3
594,motive_4
595,motive_4
596,motive_2
597,motive_2
598,motive_4
599,motive_4
600,motive_7
601,motive_7
602,motive_2
603,motive_2
604,motive_4
605,motive_4
606,motive_8
607,motive_8
608,motive_7
609,motive_7
610,motive_4
611,motive_4
612,motive_2
613,motive_2
614,motive_3
615,motive_3
616,motive_8
617,motive_8
618,motive_4
619,motive_4
620,motive_2
621,motive_2
622,motive_7
623,motive_7
624,motive_4
625,motive_4
626,motive_2
627,motive_2
628,motive_4
629,motive_4
630,motive_7
631,motive_7
632,motive_2
633,motive_2
634,motive_3
635,motive_3
636,motive_4
637,motive_4
638,motive_8
639,motive_8
640,motive_7
641,motive_7
642,motive_4
643,motive_4
644,motive_2
645,motive_2
646,motive_3
647,motive_3
648,motive_4
649,motive_4
650,motive_8
651,motive_8
652,motive_7
653,motive_7
654,motive_4
655,motive_4
656,motive_2
657,motive_2
658,motive_3
659,motive_3
660,motive_4
661,motive_4
662,motive_2
663,motive_2
664,motive_4
665,motive_4
666,motive_2
667,motive_2
668,motive_3
669,motive_3
670,motive_4
671,motive_4
672,motive_2
673,motive_2
674,motive_4
675,motive_4
676,motive_3
677,motive_3
678,motive_2
679,motive_2
680,motive_8
681,motive_8
682,motive_4
683,motive_4
684,motive_2
685,motive_2
686,motive_4
687,motive_4
688,motive_2
689,motive_2
690,motive_4
691,motive_4
692,motive_2
693,motive_2
694,motive_4
695,motive_4
696,motive_7
697,motive_7
698,motive_2
699,motive_2
700,motive_3
701,motive_3
702,motive_8
703,motive_8
704,motive_4
705,motive_4
706,motive_7
707,motive_7
708,motive_1
709,motive_1
710,motive_4
711,motive_4
712,motive_2
713,motive_2
714,motive_3
715,motive_3
716,motive_4
717,motive_4
718,motive_2
719,motive_2
720,motive_4
721,motive_4
722,motive_2
723,motive_2
724,motive_3
725,motive_3
726,motive_4
727,motive_4
728,motive_7
729,motive_7
730,motive_2
731,motive_2
732,motive_4
733,motive_4
734,motive_2
735,motive_2
736,motive_4
737,motive_4
738,motive_2
739,motive_2
740,motive_3
741,motive_3
742,motive_4
743,motive_4
744,motive_7
745,motive_7
746,motive_8
747,motive_8
748,motive_4
749,motive_4
750,motive_3
751,motive_3
752,motive_7
753,motive_7
754,motive_4
755,motive_4
756,motive_2
757,motive_2
758,motive_4
759,motive_4
760,motive_3
761,motive_3
762,motive_2
763,motive_2
764,motive_4
765,motive_4
766,motive_8
767,motive_8
768,motive_7
769,motive_7
770,motive_3
771,motive_3
772,motive_8
773,motive_8
774,motive_4
775,motive_4
776,motive_2
777,motive_2
778,motive_3
779,motive_3
780,motive_4
781,motive_4
782,motive_2
783,motive_2
784,motive_4
785,motive_4
786,motive_2
787,motive_2
788,motive_4
789,motive_4
790,motive_3
791,motive_3
792,motive_2
793,motive_2
794,motive_4
795,motive_4
796,motive_7
797,motive_7
798,motive_4
799,motive_4
800,motive_8
801,motive_8
802,motive_1
803,motive_1
804,motive_7
805,motive_7
806,motive_8
807,motive_8
808,motive_4
809,motive_4
810,motive_2
811,motive_2
812,motive_3
813,motive_3
814,motive_4
815,motive_4
816,motive_2
817,motive_2
818,motive_3
819,motive_3
820,motive_4
821,motive_4
822,motive_8
823,motive_8
824,motive_7
825,motive_7
826,motive_4
827,motive_4
828,motive_1
829,motive_1
830,motive_8
831,motive_8
832,motive_3
833,motive_3
834,motive_7
835,motive_7
836,motive_8
837,motive_8
838,motive_4
839,motive_4
840,motive_2
841,motive_2
842,motive_3
843,motive_3
844,motive_4
845,motive_4
846,motive_7
847,motive_7
848,motive_4
849,motive_4
850,motive_2
851,motive_2
852,motive_8
853,motive_8
854,motive_7
855,motive_7
856,motive_4
857,motive_4
858,motive_3
859,motive_3
860,motive_8
861,motive_8
862,motive_7
863,motive_7
864,motive_4
865,motive_4
866,motive_1
867,motive_1
868,motive_8
869,motive_8
870,motive_7
871,motive_7
872,motive_4
873,motive_4
874,motive_8
875,motive_8
876,motive_7
877,motive_7
878,motive_3
879,motive_3
880,motive_4
881,motive_4
882,motive_8
883,motive_8
884,motive_7
885,motive_7
886,motive_1
887,motive_1
888,motive_4
889,motive_4
890,motive_2
891,motive_2
892,motive_3
893,motive_3
894,motive_4
895,motive_4
896,motive_8
897,motive_8
898,motive_2
899,motive_2
900,motive_4
901,motive_4
902,motive_3
903,motive_3
904,motive_7
905,motive_7
906,motive_8
907,motive_8
908,motive_4
909,motive_4
910,motive_3
911,motive_3
912,motive_7
913,motive_7
914,motive_4
915,motive_4
916,motive_7
917,motive_7
918,motive_2
919,motive_2
920,motive_8
921,motive_8
922,motive_3
923,motive_3
924,motive_4
925,motive_4
926,motive_7
927,motive_7
928,motive_8
929,motive_8
930,motive_4
931,motive_4
932,motive_1
933,motive_1
934,motive_7
935,motive_7
936,motive_4
937,motive_4
938,motive_8
939,motive_8
940,motive_3
941,motive_3
942,motive_7
943,motive_7
944,motive_8
945,motive_8
946,motive_4
947,motive_4
948,motive_7
949,motive_7
950,motive_4
951,motive_4
952,motive_3
953,motive_3
954,motive_8
955,motive_8
956,motive_7
957,motive_7
958,motive_4
959,motive_4
960,motive_7
961,motive_7
962,motive_1
963,motive_1
964,motive_8
965,motive_8
966,motive_4
967,motive_4
968,motive_2
969,motive_2
970,motive_3
971,motive_3
972,motive_4
973,motive_4
974,motive_7
975,motive_7
976,motive_8
977,motive_8
978,motive_4
979,motive_4
980,motive_1
981,motive_1
982,motive_2
983,motive_2
984,motive_4
985,motive_4
986,motive_7
987,motive_7
988,motive_8
989,motive_8
990,motive_4
991,motive_4
992,motive_2
993,motive_2
994,motive_7
995,motive_7
996,motive_4
997,motive_4
998,motive_2
999,motive_2
