structural_pattern,num_simulations,simulation_ids
A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→D→D→B→B→C,1,3
A→A→B→B→A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C,1,6
A→A→B→B→C→C→A→A→B→B→A→A→C→C→D→D→A→A→B→B→C,1,7
A→A→B→B→C→C→A→A→B→B→C→C→A→A→D→D→C→C→A→A→B,1,8
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→D→D→B,1,9
A→A→B→B→A→A→C→C→A→A→B→B→D→D→A→A→B→B→D→D→A,1,11
A→A→B→B→C→C→D→D→A→A→B→B→C→C→E→E→C→C→B→B→C,1,12
A→A→B→B→C→C→D→D→E→E→B→B→D→D→E→E→A→A→D→D→E,1,14
A→A→B→B→A→A→B→B→C→C→D→D→A→A→C→C→B→B→E→E→A,1,17
A→A→B→B→A→A→B→B→A→A→C→C→D→D→E→E→D→D→E→E→D,1,18
A→A→B→B→A→A→C→C→B→B→D→D→A→A→B→B→C→C→A→A→B,1,22
A→A→B→B→C→C→B→B→A→A→C→C→D→D→B→B→C→C→A→A→B,1,30
A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→A,1,32
A→A→B→B→C→C→D→D→A→A→B→B→A→A→D→D→B→B→A→A→C,1,33
A→A→B→B→C→C→B→B→D→D→C→C→B→B→C→C→E→E→B→B→C,1,41
A→A→B→B→C→C→D→D→E→E→A→A→C→C→A→A→C→C→A→A→E,1,42
A→A→B→B→C→C→D→D→E→E→A→A→D→D→C→C→E→E→D→D→A,1,46
A→A→B→B→C→C→B→B→A→A→B→B→A→A→B→B→C→C→B→B→C,1,49
A→A→B→B→A→A→C→C→D→D→A→A→B→B→E→E→A→A→B→B→F,1,51
A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→A→A→C→C→D,1,56
A→A→B→B→C→C→D→D→B→B→A→A→E→E→B→B→D→D→A→A→B,1,58
A→A→B→B→C→C→B→B→A→A→D→D→C→C→B→B→A→A→E→E→F,1,59
A→A→B→B→C→C→A→A→B→B→D→D→E→E→C→C→A→A→B→B→C,1,67
A→A→B→B→C→C→D→D→E→E→D→D→C→C→B→B→F→F→B→B→G,1,68
A→A→B→B→C→C→A→A→B→B→D→D→E→E→A→A→B→B→D→D→A,1,72
A→A→B→B→C→C→D→D→A→A→B→B→A→A→C→C→D→D→A→A→B,1,77
A→A→B→B→C→C→D→D→A→A→B→B→A→A→D→D→C→C→A→A→B,1,81
A→A→B→B→C→C→B→B→D→D→A→A→B→B→C→C→B→B→A→A→C,1,84
A→A→B→B→C→C→D→D→C→C→B→B→A→A→B→B→A→A→C→C→B,1,85
A→A→B→B→C→C→A→A→B→B→D→D→E→E→A→A→D→D→A→A→D,1,86
A→A→B→B→C→C→D→D→B→B→A→A→C→C→D→D→B→B→A→A→C,1,88
A→A→B→B→C→C→D→D→E→E→D→D→C→C→B→B→D→D→C→C→B,1,90
A→A→B→B→C→C→B→B→A→A→D→D→B→B→A→A→B→B→C→C→B,1,93
A→A→B→B→C→C→D→D→E→E→B→B→A→A→C→C→D→D→B→B→A,1,96
A→A→B→B→C→C→A→A→D→D→A→A→C→C→B→B→A→A→D→D→A,1,98
A→A→B→B→C→C→A→A→B→B→A→A→D→D→C→C→B→B→A→A→B,1,99
A→A→B→B→C→C→D→D→E→E→B→B→C→C→A→A→B→B→A→A→C,1,100
A→A→B→B→C→C→D→D→B→B→C→C→D→D→E→E→D→D→B→B→C,1,102
A→A→B→B→C→C→D→D→A→A→D→D→C→C→A→A→D→D→A→A→C,1,105
A→A→B→B→C→C→A→A→D→D→A→A→B→B→C→C→A→A→B→B→C,1,112
A→A→B→B→C→C→D→D→E→E→B→B→E→E→B→B→D→D→E→E→B,1,116
A→A→B→B→C→C→D→D→B→B→A→A→C→C→D→D→B→B→C→C→D,1,118
A→A→B→B→C→C→D→D→B→B→C→C→A→A→D→D→B→B→C→C→D,1,119
A→A→B→B→C→C→A→A→B→B→A→A→C→C→D→D→C→C→A→A→E,1,122
A→A→B→B→C→C→A→A→C→C→A→A→C→C→B→B→C→C→A→A→C,1,124
A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→D→D→C→C→A,1,126
A→A→B→B→A→A→C→C→D→D→C→C→A→A→B→B→A→A→C→C→B,1,127
A→A→B→B→C→C→D→D→C→C→B→B→A→A→C→C→B→B→A→A→B,1,133
A→A→B→B→A→A→C→C→A→A→D→D→C→C→A→A→D→D→A→A→C,1,135
A→A→B→B→A→A→C→C→D→D→E→E→C→C→D→D→A→A→B→B→A,1,138
A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→C→C→A→A→B,1,140
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→D→D→A→A→B,1,141
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→D,1,144
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→D→D→B→B→A,1,146
A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→A→A→D→D→C,1,149
A→A→B→B→A→A→C→C→D→D→E→E→C→C→D→D→E→E→C→C→D,1,150
A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→E,1,152
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B,1,153
A→A→B→B→C→C→D→D→A→A→C→C→D→D→A→A→B→B→A→A→D,1,156
A→A→B→B→C→C→A→A→B→B→A→A→C→C→D→D→A→A→C→C→B,1,157
A→A→B→B→C→C→D→D→C→C→B→B→A→A→D→D→B→B→C→C→A,1,161
A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→B→B→A→A→B,1,162
A→A→B→B→A→A→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C,1,163
A→A→B→B→C→C→B→B→C→C→B→B→A→A→D→D→A→A→D→D→A,1,167
A→A→B→B→C→C→B→B→A→A→D→D→E→E→D→D→F→F→E→E→D,1,168
A→A→B→B→C→C→D→D→A→A→D→D→C→C→D→D→A→A→C→C→D,1,169
A→A→B→B→C→C→D→D→A→A→B→B→D→D→A→A→C→C→B→B→D,1,176
A→A→B→B→C→C→B→B→A→A→C→C→B→B→D→D→E→E→B→B→A,1,182
A→A→B→B→A→A→C→C→B→B→A→A→C→C→A→A→B→B→A→A→B,1,185
A→A→B→B→C→C→A→A→D→D→C→C→A→A→C→C→D→D→C→C→A,1,186
A→A→B→B→A→A→C→C→D→D→E→E→A→A→D→D→E→E→D→D→A,1,188
A→A→B→B→A→A→B→B→C→C→D→D→A→A→B→B→A→A→C→C→D,1,193
A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→A→A→B→B→C,1,196
A→A→B→B→C→C→D→D→C→C→E→E→B→B→A→A→B→B→E→E→B,1,204
A→A→B→B→C→C→B→B→A→A→D→D→B→B→C→C→B→B→D→D→A,1,207
A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→A→A→D→D→C,1,209
A→A→B→B→C→C→B→B→A→A→D→D→E→E→A→A→B→B→C→C→B,1,212
A→A→B→B→C→C→D→D→E→E→B→B→A→A→F→F→C→C→B→B→A,1,214
A→A→B→B→C→C→A→A→D→D→C→C→B→B→A→A→C→C→B→B→A,1,216
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C,1,217
A→A→B→B→C→C→D→D→A→A→C→C→D→D→B→B→C→C→D→D→B,1,218
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→D,1,219
A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→D→D→A,1,222
A→A→B→B→A→A→B→B→A→A→C→C→D→D→C→C→A→A→E→E→D,1,226
A→A→B→B→C→C→D→D→B→B→C→C→B→B→D→D→A→A→C→C→B,1,228
