structural_pattern,num_simulations,simulation_ids
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→B,2,"189,281"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→H→H→C→C→B,2,"196,717"
A→A→B→B→C→C→D→D→E→E→B→B→A→A→F→F→G→G→H→H→B,2,"201,684"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→E→E→D→D→C,2,"211,323"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→E,2,"212,349"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→E,2,"213,723"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→D→D→B,2,"218,324"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→D→D→A→A→C,2,"219,356"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→D→D→E→E→A,2,"220,583"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→C→C→B→B→D,2,"224,270"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→B→B→F→F→E,2,"226,504"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→C→C→A→A→D,2,"228,265"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→B,2,"234,410"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→G→G→C→C→D,2,"237,807"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→C→C→B→B→A→A→G,2,"238,382"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→C→C→H,2,"240,618"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→A→A→B,2,"248,325"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→B→B→D→D→A,2,"250,707"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→D→D→E→E→A,2,"253,933"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→H→H→B→B→A,2,"256,537"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→H→H→A→A→C,2,"260,569"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→G→G→A→A,2,"262,965"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→A→A→D→D→G,2,"263,761"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→D→D→F→F→G→G→A,2,"264,819"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→D→D→E,2,"272,926"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→A,2,"274,693"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→D→D→B→B→A,2,"286,425"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→D→D→C→C→B,2,"288,980"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→A→A→B,2,"292,691"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→B→B→D→D→C,2,"293,438"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→C→C→B→B→A,2,"304,641"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→D→D→B→B→G,2,"311,679"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→D→D→C→C→B→B→G,2,"312,891"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→D→D→F→F→A,2,"319,484"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→E→E→B→B→C,2,"330,367"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→F,2,"334,519"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→D→D→C→C→E→E→A,2,"337,544"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→H→H→E,2,"343,697"
A→A→B→B→C→C→D→D→E→E→F→F→C→C→G→G→A→A→B→B→C,2,"350,543"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→A→A→C→C→B→B,2,"355,419"
A→A→B→B→C→C→D→D→E→E→B→B→C→C→F→F→D→D→E→E→B,2,"357,927"
A→A→B→B→C→C→D→D→E→E→B→B→F→F→G→G→H→H→C→C→D,2,"359,436"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→C→C→E→E→A,2,"362,415"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→E→E→D,2,"387,762"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→A→A→H,2,"388,767"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→F→F→A→A→B,2,"395,677"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→E,2,"404,709"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→H→H→C→C→A,2,"421,534"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→D→D→B,2,"424,595"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→A→A→G→G→D,2,"432,576"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→D→D,2,"439,621"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→D→D→C→C→B,2,"441,461"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→A→A→G→G→C→C→B,2,"445,851"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→D→D→E→E→A,2,"448,587"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→D→D→C→C→A→A→E,2,"454,790"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→B→B→H→H→A,2,"467,710"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→C→C→A,2,"473,535"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→C→C→A→A→F,2,"477,564"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→D→D→E→E→F,2,"490,624"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→B→B→C→C→A,2,"498,928"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→E→E,2,"500,878"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→C→C→A→A→B→B→D,2,"501,776"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→A→A→B→B→C,2,"502,664"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→A→A→D→D→B,2,"520,635"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→E,2,"526,939"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→C→C→H,2,"536,998"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→A→A→E,2,"545,719"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→C→C→A→A→B,2,"548,918"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→E→E→C,2,"551,842"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→B→B→C→C→A,2,"560,955"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→A→A→C→C→B,2,"568,627"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→C→C→E→E→A,2,"603,661"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→C→C→H,2,"609,651"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→D→D→A→A→C,2,"626,860"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→C→C→D→D→A,2,"636,675"
A→A→B→B→C→C→D→D→E→E→B→B→A→A→F→F→G→G→C→C→D,2,"643,952"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→A,2,"653,773"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→D→D→E→E→B,2,"686,923"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→E→E→D,2,"696,800"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→D→D→C,2,"704,712"
A→A→B→B→C→C→A→A→D→D→E→E→F→F→B→B→C→C→A→A→G,2,"742,826"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→D→D→E,2,"749,875"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→H→H→B,2,"768,816"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→D→D→A→A→B,2,"778,821"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→B→B→D→D→E,2,"793,879"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→E→E→G,2,"835,901"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→H→H→F,2,"843,873"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→A→A→B→B→E,2,"868,883"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→D→D→B,2,"888,917"
A→A→B→B→C→C→D→D→E→E→B→B→A→A→F→F→C→C→G→G→B,2,"944,985"
A→A→B→B→C→C→D→D→E→E→B→B→C→C→F→F→G→G→A→A→D,1,0
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→E→E→D,1,1
A→A→B→B→C→C→D→D→E→E→B→B→A→A→C→C→B→B→F→F→D,1,2
A→A→B→B→C→C→D→D→E→E→A→A→C→C→B→B→E→E→A→A→C,1,3
A→A→B→B→C→C→D→D→A→A→E→E→B→B→F→F→G→G→C→C→A,1,4
