test_id,elevation,amplitude,initial_mean,initial_std,corr_mean,corr_std,corr_range,rhythm_detected,mean_period,mean_strength,n_rhythmic_motives
128,0.1111111111111111,0.95,-0.2777777777777778,0.30000000000000004,0.10347222222222223,0.6611691005146176,1.8388888888888888,False,0.0,0.0,0
129,0.4222222222222222,0.1,-0.3888888888888889,0.5,0.4819444444444444,0.20472335292918564,0.6777777777777778,False,0.0,0.0,0
130,-0.04444444444444445,0.7611111111111111,0.38888888888888884,0.2,-0.009027777777777798,0.5935802226404419,1.8055555555555556,False,0.0,0.0,0
131,-0.2,0.7611111111111111,0.38888888888888884,0.5,-0.14513888888888893,0.6278726421687368,1.961111111111111,False,0.0,0.0,0
132,0.033333333333333326,0.28888888888888886,0.16666666666666663,0.2,0.11805555555555555,0.37539845086731544,1.2555555555555555,False,0.0,0.0,1
133,0.4222222222222222,0.3833333333333333,0.2777777777777777,0.1,0.44652777777777775,0.3102286281076117,0.961111111111111,False,0.0,0.0,0
134,0.5,0.1,-0.2777777777777778,0.5,0.55,0.18027756377319948,0.6,False,0.0,0.0,0
135,0.5,0.1,0.2777777777777777,0.5,0.55,0.18027756377319948,0.6,False,0.0,0.0,0
136,0.1111111111111111,0.19444444444444445,0.16666666666666663,0.30000000000000004,0.19791666666666669,0.3246667035040666,1.0833333333333333,False,0.0,0.0,3
137,-0.2,0.3833333333333333,-0.16666666666666669,0.5,-0.09791666666666665,0.4740075523894342,1.5833333333333333,False,0.0,0.0,1
138,-0.12222222222222223,0.95,-0.05555555555555558,0.1,-0.10069444444444446,0.703844367946582,2.072222222222222,False,0.0,0.0,0
139,0.1111111111111111,0.1,-0.16666666666666669,0.1,0.2097222222222222,0.3046166129156411,0.9888888888888889,False,0.0,0.0,2
140,0.5,0.19444444444444445,0.38888888888888884,0.30000000000000004,0.5381944444444444,0.20968887704005904,0.6944444444444444,False,0.0,0.0,0
141,0.3444444444444445,0.5722222222222222,-0.3888888888888889,0.30000000000000004,0.3548611111111111,0.41999997703556663,1.2277777777777776,True,88.0,0.5277738914806271,5
142,0.4222222222222222,0.1,0.16666666666666663,0.2,0.4819444444444444,0.20472335292918564,0.6777777777777778,False,0.0,0.0,0
143,0.26666666666666666,0.5722222222222222,0.38888888888888884,0.1,0.2868055555555556,0.4354377099292103,1.3055555555555556,True,71.14285714285714,0.6077055552805396,7
144,0.033333333333333326,0.47777777777777775,0.38888888888888884,0.5,0.09444444444444444,0.44572731518964914,1.4444444444444444,False,0.0,0.0,1
145,0.4222222222222222,0.8555555555555555,0.16666666666666663,0.30000000000000004,0.3875,0.5612606373926643,1.460524690570713,True,94.71428571428571,0.5275604414077152,7
146,0.3444444444444445,0.6666666666666666,0.16666666666666663,0.5,0.34305555555555556,0.46945060811206757,1.3222222222222222,True,83.4,0.5651705490692998,5
147,-0.04444444444444445,0.1,0.05555555555555558,0.2,0.0736111111111111,0.35520544828849004,1.1444444444444444,False,0.0,0.0,2
148,0.26666666666666666,0.8555555555555555,-0.3888888888888889,0.4,0.2513888888888889,0.5843625180221057,1.5888888888888888,False,0.0,0.0,2
149,0.18888888888888888,0.47777777777777775,-0.16666666666666669,0.30000000000000004,0.23055555555555554,0.4075578425962729,1.2888888888888888,False,0.0,0.0,1
150,0.3444444444444445,0.47777777777777775,0.2777777777777777,0.30000000000000004,0.3666666666666667,0.37259516971349366,1.1333333333333333,True,89.75,0.5325842815698396,8
151,-0.2,0.28888888888888886,-0.2777777777777778,0.4,-0.08611111111111111,0.445337644135268,1.488888888888889,False,0.0,0.0,0
152,0.5,0.6666666666666666,-0.3888888888888889,0.1,0.47916666666666663,0.4443901876604488,1.1666666666666665,False,0.0,0.0,0
153,0.1111111111111111,0.47777777777777775,0.16666666666666663,0.5,0.1625,0.42629387287337683,1.3666666666666667,False,0.0,0.0,2
154,0.1111111111111111,0.5722222222222222,-0.05555555555555558,0.5,0.15069444444444444,0.46902872371832355,1.461111111111111,False,0.0,0.0,0
155,0.3444444444444445,0.3833333333333333,0.2777777777777777,0.2,0.3784722222222223,0.3281240814214067,1.0388888888888888,True,92.875,0.5339404214043924,8
156,-0.12222222222222223,0.3833333333333333,-0.16666666666666669,0.1,-0.029861111111111123,0.4516596410209357,1.5055555555555555,False,0.0,0.0,0
157,0.3444444444444445,0.3833333333333333,-0.3888888888888889,0.4,0.3784722222222223,0.3281240814214067,1.0388888888888888,True,92.85714285714286,0.5277210629604995,7
158,0.18888888888888888,0.8555555555555555,0.16666666666666663,0.30000000000000004,0.18333333333333335,0.597241601752756,1.6666666666666665,False,0.0,0.0,0
159,-0.12222222222222223,0.95,-0.3888888888888889,0.4,-0.10069444444444446,0.703844367946582,2.072222222222222,False,0.0,0.0,0
160,0.5,0.8555555555555555,0.2777777777777777,0.2,0.4555555555555555,0.551149192232707,1.460524690570713,False,0.0,0.0,0
