elevation,amplitude,mean_correlation,negative_correlation_count,negative_correlation_mean,decay_rate,net_flow_active,net_flow_others,total_system_flow,is_balanced,empirical_drift,final_mean_satisfaction,dissatisfied_fraction,system_unstable
-0.3,0.9,-0.24999999999999994,40,-0.7345584412271571,0.0375,0.1625,-0.056249999999999994,-0.23124999999999993,False,-0.0016203074250334144,-0.5410853997883278,0.9995,True
-0.2571428571428571,0.1,-0.11249999999999996,56,-0.2714285714285714,0.033375,0.16662500000000002,-0.04525,-0.15012499999999995,False,-0.0009035007058569399,-0.47555377435013185,1.0,False
-0.2571428571428571,0.15714285714285714,-0.11964285714285713,56,-0.27959183673469384,0.03358928571428571,0.1664107142857143,-0.04582142857142857,-0.15433928571428568,False,-0.0009049935818024784,-0.4721155116188296,1.0,False
-0.2571428571428571,0.2142857142857143,-0.12678571428571428,56,-0.28775510204081634,0.033803571428571426,0.16619642857142858,-0.04639285714285714,-0.1585535714285714,False,-0.000470582624922879,-0.48938101857361865,1.0,False
-0.2571428571428571,0.27142857142857146,-0.1339285714285714,56,-0.2959183673469387,0.03401785714285714,0.16598214285714286,-0.04696428571428571,-0.16276785714285713,False,-0.0005703055079008066,-0.5008613676589266,1.0,False
-0.2571428571428571,0.3285714285714286,-0.14107142857142857,56,-0.3040816326530612,0.03423214285714286,0.16576785714285716,-0.047535714285714285,-0.16698214285714283,False,-0.0006307765767137568,-0.4963261347589076,1.0,False
-0.2571428571428571,0.3857142857142858,-0.1482142857142857,40,-0.44338218909735305,0.034446428571428565,0.16555357142857144,-0.048107142857142855,-0.17119642857142855,False,-0.0005088368749899328,-0.5005392538301909,1.0,False
-0.2571428571428571,0.44285714285714284,-0.1553571428571428,40,-0.47097320123875974,0.03466071428571428,0.16533928571428574,-0.04867857142857142,-0.1754107142857142,False,-0.0005890273425323534,-0.50224306699744,1.0,False
-0.2571428571428571,0.5,-0.16249999999999998,40,-0.4985642133801667,0.034875,0.16512500000000002,-0.04925,-0.17962499999999998,False,-0.00047672988506333394,-0.5191742108526906,1.0,False
-0.2571428571428571,0.5571428571428572,-0.16964285714285712,40,-0.5261552255215735,0.03508928571428571,0.1649107142857143,-0.049821428571428565,-0.18383928571428565,False,-0.0006062426110525179,-0.5167673614303258,1.0,False
-0.2571428571428571,0.6142857142857143,-0.17678571428571427,40,-0.5537462376629803,0.03530357142857143,0.16469642857142858,-0.05039285714285714,-0.18805357142857143,False,-0.0009317552243602468,-0.5110685562662098,1.0,False
