step,active_behavior
574,motive_7
575,motive_4
576,motive_4
577,motive_1
578,motive_1
579,motive_6
580,motive_6
581,motive_8
582,motive_8
583,motive_6
584,motive_6
585,motive_4
586,motive_4
587,motive_1
588,motive_1
589,motive_8
590,motive_8
591,motive_6
592,motive_6
593,motive_8
594,motive_8
595,motive_6
596,motive_6
597,motive_8
598,motive_8
599,motive_4
600,motive_4
601,motive_1
602,motive_1
603,motive_6
604,motive_6
605,motive_8
606,motive_8
607,motive_6
608,motive_6
609,motive_4
610,motive_4
611,motive_8
612,motive_8
613,motive_1
614,motive_1
615,motive_6
616,motive_6
617,motive_8
618,motive_8
619,motive_6
620,motive_6
621,motive_4
622,motive_4
623,motive_8
624,motive_8
625,motive_6
626,motive_6
627,motive_1
628,motive_1
629,motive_8
630,motive_8
631,motive_6
632,motive_6
633,motive_4
634,motive_4
635,motive_8
636,motive_8
637,motive_6
638,motive_6
639,motive_8
640,motive_8
641,motive_6
642,motive_6
643,motive_8
644,motive_8
645,motive_1
646,motive_1
647,motive_4
648,motive_4
649,motive_6
650,motive_6
651,motive_1
652,motive_1
653,motive_8
654,motive_8
655,motive_6
656,motive_6
657,motive_8
658,motive_8
659,motive_4
660,motive_4
661,motive_1
662,motive_1
663,motive_6
664,motive_6
665,motive_8
666,motive_8
667,motive_6
668,motive_6
669,motive_4
670,motive_4
671,motive_1
672,motive_1
673,motive_8
674,motive_8
675,motive_6
676,motive_6
677,motive_4
678,motive_4
679,motive_8
680,motive_8
681,motive_6
682,motive_6
683,motive_8
684,motive_8
685,motive_1
686,motive_1
687,motive_4
688,motive_4
689,motive_6
690,motive_6
691,motive_7
692,motive_7
693,motive_4
694,motive_4
695,motive_2
696,motive_2
697,motive_1
698,motive_1
699,motive_4
700,motive_4
701,motive_2
702,motive_2
703,
704,motive_7
705,motive_7
706,motive_4
707,motive_4
708,motive_6
709,motive_6
710,motive_1
711,motive_1
712,motive_8
713,motive_8
714,motive_6
715,motive_6
716,motive_8
717,motive_8
718,motive_4
719,motive_4
720,motive_6
721,motive_6
722,motive_1
723,motive_1
724,motive_8
725,motive_8
726,motive_6
727,motive_6
728,motive_8
729,motive_8
730,motive_6
731,motive_6
732,motive_8
733,motive_8
734,motive_4
735,motive_4
736,motive_6
737,motive_6
738,motive_1
739,motive_1
740,motive_8
741,motive_8
742,motive_6
743,motive_6
744,motive_8
745,motive_8
746,motive_4
747,motive_4
748,motive_6
749,motive_6
750,motive_1
751,motive_1
752,motive_8
753,motive_8
754,motive_4
755,motive_4
756,motive_6
757,motive_6
758,motive_7
759,motive_7
760,motive_4
761,motive_4
762,motive_1
763,motive_1
764,motive_6
765,motive_6
766,motive_8
767,motive_8
768,motive_6
769,motive_6
770,motive_4
771,motive_4
772,motive_7
773,motive_7
774,motive_2
775,motive_2
776,motive_4
777,motive_4
778,motive_1
779,motive_1
780,motive_2
781,motive_2
782,motive_4
783,motive_4
784,
785,motive_7
786,motive_7
787,motive_6
788,motive_6
789,motive_8
790,motive_8
791,motive_4
