step,motive,satisfaction
62,motive_4,-0.3520000000000001
62,motive_5,-1.0
62,motive_6,-1.0
62,motive_7,1.0
62,motive_8,-0.8440000000000002
63,motive_1,0.5480000000000005
63,motive_2,-0.25899999999999995
63,motive_3,-1.0
63,motive_4,-0.6820000000000002
63,motive_5,-1.0
63,motive_6,0.0
63,motive_7,0.815
63,motive_8,-0.8860000000000002
64,motive_1,0.49800000000000055
64,motive_2,-0.5619999999999999
64,motive_3,-1.0
64,motive_4,-1.0
64,motive_5,-1.0
64,motive_6,1.0
64,motive_7,0.6299999999999999
64,motive_8,-0.9280000000000003
65,motive_1,0.37300000000000055
65,motive_2,-0.7729999999999999
65,motive_3,-0.9710000000000001
65,motive_4,-1.0
65,motive_5,0.0
65,motive_6,0.385
65,motive_7,0.22899999999999987
65,motive_8,-1.0
66,motive_1,0.24800000000000053
66,motive_2,-0.9839999999999999
66,motive_3,-0.9420000000000002
66,motive_4,-1.0
66,motive_5,1.0
66,motive_6,-0.22999999999999998
66,motive_7,-0.17200000000000015
66,motive_8,-1.0
67,motive_1,0.1410000000000005
67,motive_2,-1.0
67,motive_3,-1.0
67,motive_4,-0.9880000000000001
67,motive_5,0.6719999999999999
67,motive_6,-0.41400000000000003
67,motive_7,-0.3900000000000001
67,motive_8,0.0
68,motive_1,0.0340000000000005
68,motive_2,-1.0
68,motive_3,-1.0
68,motive_4,-0.9760000000000001
68,motive_5,0.3439999999999999
68,motive_6,-0.5980000000000001
68,motive_7,-0.6080000000000001
68,motive_8,1.0
69,motive_1,-0.0159999999999995
69,motive_2,-1.0
69,motive_3,-1.0
69,motive_4,-1.0
69,motive_5,-0.30000000000000004
69,motive_6,0.4019999999999999
69,motive_7,-0.7930000000000001
69,motive_8,0.958
70,motive_1,-0.0659999999999995
70,motive_2,-1.0
70,motive_3,-1.0
70,motive_4,-1.0
70,motive_5,-0.944
70,motive_6,1.0
70,motive_7,-0.9780000000000002
70,motive_8,0.9159999999999999
71,motive_1,-0.2269999999999995
71,motive_2,0.0
71,motive_3,-1.0
71,motive_4,-1.0
71,motive_5,-1.0
71,motive_6,0.555
71,motive_7,-1.0
71,motive_8,0.7
72,motive_1,-0.38799999999999946
72,motive_2,1.0
72,motive_3,-1.0
72,motive_4,-1.0
72,motive_5,-1.0
72,motive_6,0.11000000000000004
72,motive_7,-1.0
72,motive_8,0.484
73,motive_1,-0.5249999999999995
73,motive_2,0.856
73,motive_3,0.0
73,motive_4,-1.0
73,motive_5,-1.0
73,motive_6,-0.19499999999999998
73,motive_7,-1.0
73,motive_8,0.246
74,motive_1,-0.6619999999999995
74,motive_2,0.712
74,motive_3,1.0
74,motive_4,-1.0
74,motive_5,-1.0
74,motive_6,-0.5
74,motive_7,-1.0
74,motive_8,0.008000000000000007
75,motive_1,-0.7119999999999994
75,motive_2,0.40900000000000003
75,motive_3,0.766
75,motive_4,-1.0
75,motive_5,-1.0
75,motive_6,0.5
75,motive_7,-1.0
75,motive_8,-0.034
76,motive_1,-0.7619999999999993
76,motive_2,0.10600000000000004
76,motive_3,0.532
76,motive_4,-1.0
76,motive_5,-1.0
76,motive_6,1.0
76,motive_7,-1.0
76,motive_8,-0.07600000000000001
77,motive_1,-0.6699999999999994
77,motive_2,-0.37199999999999994
77,motive_3,0.37100000000000005
77,motive_4,-1.0
77,motive_5,-1.0
77,motive_6,0.7439999999999999
77,motive_7,0.0
77,motive_8,-0.22300000000000003
78,motive_1,-0.5779999999999994
78,motive_2,-0.8499999999999999
78,motive_3,0.21000000000000002
78,motive_4,-1.0
78,motive_5,-1.0
78,motive_6,0.4879999999999999
78,motive_7,1.0
78,motive_8,-0.37
79,motive_1,-0.7029999999999994
79,motive_2,-1.0
79,motive_3,0.23900000000000005
79,motive_4,-1.0
79,motive_5,0.0
79,motive_6,-0.1270000000000001
79,motive_7,0.599
79,motive_8,-0.527
80,motive_1,-0.8279999999999994
80,motive_2,-1.0
80,motive_3,0.26800000000000007
80,motive_4,-1.0
80,motive_5,1.0
80,motive_6,-0.7420000000000001
80,motive_7,0.19799999999999995
80,motive_8,-0.684
81,motive_1,-0.9349999999999994
81,motive_2,-1.0
81,motive_3,-0.040999999999999925
81,motive_4,-0.9880000000000001
81,motive_5,0.6719999999999999
81,motive_6,-0.9260000000000002
81,motive_7,-0.020000000000000046
81,motive_8,0.31599999999999995
82,motive_1,-1.0
82,motive_2,-1.0
82,motive_3,-0.3499999999999999
82,motive_4,-0.9760000000000001
82,motive_5,0.3439999999999999
82,motive_6,-1.0
82,motive_7,-0.23800000000000004
82,motive_8,1.0
83,motive_1,-1.0
83,motive_2,-1.0
83,motive_3,-0.5839999999999999
83,motive_4,-1.0
83,motive_5,-0.30000000000000004
83,motive_6,0.0
83,motive_7,-0.42300000000000004
83,motive_8,0.958
84,motive_1,-1.0
84,motive_2,-1.0
84,motive_3,-0.8179999999999998
84,motive_4,-1.0
84,motive_5,-0.944
84,motive_6,1.0
84,motive_7,-0.6080000000000001
84,motive_8,0.9159999999999999
85,motive_1,-1.0
85,motive_2,-1.0
85,motive_3,-0.7889999999999999
85,motive_4,-1.0
85,motive_5,0.05600000000000005
85,motive_6,0.385
85,motive_7,-1.0
85,motive_8,0.7589999999999999
86,motive_1,-1.0
86,motive_2,-1.0
86,motive_3,-0.76
86,motive_4,-1.0
86,motive_5,1.0
86,motive_6,-0.22999999999999998
86,motive_7,-1.0
86,motive_8,0.6019999999999999
87,motive_1,-1.0
87,motive_2,0.0
87,motive_3,-0.9750000000000001
87,motive_4,-1.0
87,motive_5,0.6180000000000001
87,motive_6,-0.675
87,motive_7,-1.0
87,motive_8,0.3859999999999999
88,motive_1,-1.0
88,motive_2,1.0
88,motive_3,-1.0
88,motive_4,-1.0
88,motive_5,0.23600000000000015
88,motive_6,-1.0
88,motive_7,-1.0
88,motive_8,0.16999999999999993
89,motive_1,0.0
89,motive_2,0.81
89,motive_3,-1.0
89,motive_4,-1.0
89,motive_5,-0.08899999999999983
89,motive_6,-1.0
89,motive_7,-1.0
89,motive_8,0.03399999999999992
90,motive_1,1.0
90,motive_2,0.6200000000000001
90,motive_3,-1.0
90,motive_4,-1.0
90,motive_5,-0.4139999999999998
90,motive_6,-1.0
90,motive_7,-1.0
90,motive_8,-0.10200000000000009
91,motive_1,0.9500000000000001
91,motive_2,0.3170000000000001
91,motive_3,-1.0
91,motive_4,-1.0
91,motive_5,-1.0
91,motive_6,0.0
91,motive_7,-1.0
91,motive_8,-0.1440000000000001
92,motive_1,0.9
92,motive_2,0.014000000000000123
92,motive_3,-1.0
92,motive_4,-1.0
92,motive_5,-1.0
92,motive_6,1.0
92,motive_7,-1.0
92,motive_8,-0.1860000000000001
93,motive_1,0.898
93,motive_2,-0.14999999999999988
93,motive_3,-1.0
93,motive_4,0.0
93,motive_5,-1.0
93,motive_6,0.67
93,motive_7,-1.0
93,motive_8,-0.03200000000000014
94,motive_1,0.896
94,motive_2,-0.3139999999999999
94,motive_3,-1.0
94,motive_4,1.0
94,motive_5,-1.0
94,motive_6,0.33999999999999997
94,motive_7,-1.0
94,motive_8,0.12199999999999983
95,motive_1,0.759
95,motive_2,-0.4579999999999999
95,motive_3,0.0
95,motive_4,0.473
95,motive_5,-1.0
95,motive_6,0.03499999999999992
95,motive_7,-1.0
95,motive_8,-0.11600000000000017
96,motive_1,0.622
96,motive_2,-0.6019999999999999
96,motive_3,1.0
96,motive_4,-0.05400000000000005
96,motive_5,-1.0
96,motive_6,-0.27000000000000013
96,motive_7,-1.0
96,motive_8,-0.3540000000000002
97,motive_1,0.7140000000000001
97,motive_2,-1.0
97,motive_3,0.839
97,motive_4,-0.42400000000000004
97,motive_5,-1.0
97,motive_6,-0.5260000000000001
97,motive_7,0.0
97,motive_8,-0.5010000000000002
