seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
20,motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,0,144,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]",motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6
21,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,0,116,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]",motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1,motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1
22,motive_5→motive_5→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6,A→A→B→B→C→C→B→B→C→C→D→D→E→E→D→D→E→E→D→D→E,21,24,2,"[24, 166]",motive_5→motive_5→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6,motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6,
23,motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_5,A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C→C→B→B→A,21,0,2,"[0, 26]",motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_5,motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4,
24,motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_2,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,21,4,8,"[4, 34, 44, 146, 156, 166, 176, 206]",motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_2,motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_1,motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_1
25,motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5,A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C,21,0,5,"[0, 42, 88, 120, 162]",motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5,motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5,motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5
26,motive_8→motive_8→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1,A→A→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A→A→B→B→C,21,4,4,"[4, 40, 96, 152]",motive_8→motive_8→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1,motive_8→motive_8→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1,motive_8→motive_8→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1
27,motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6,A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B,21,6,8,"[6, 30, 64, 78, 112, 136, 150, 208]",motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6,motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6,motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6
28,motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8,A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→C→C→B,21,6,6,"[6, 44, 68, 102, 116, 178]",motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8,motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8,motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_8
29,motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,21,0,3,"[0, 10, 32]",motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7,motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7,motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_5
