seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences,pattern_structure
149,8,1000,0.12796601402846478,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→H→H→C→C→E
150,8,1000,0.13935408559875884,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→C
151,8,1000,0.1597040498238255,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→E→E→F→F→A
152,8,1000,0.12213143397773969,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→E
153,8,1000,0.1471829460897621,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→E
154,8,1000,0.15604831542331085,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D
155,8,1000,0.13555136238430324,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→E→E→B→B→D
156,8,1000,0.1342207110576074,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C
157,8,1000,0.12960543428048446,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→E→E→D
158,8,1000,0.1500965160546505,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→D→D→B
159,8,1000,0.13353688093194968,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→C→C→G→G→E→E→D→D→F
160,8,1000,0.1491313020976884,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→G→G→C→C→D
161,8,1000,0.150810342429251,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→A
162,8,1000,0.1414420804599726,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→D→D→E→E→G
163,8,1000,0.15279020206545085,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→H→H→A
164,8,1000,0.14293943655398755,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→C
165,8,1000,0.12067748672892693,1,0.0,0.1,0.1,0.2,True,21,4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→E
166,8,1000,0.1339422945474778,1,0.0,0.1,0.1,0.2,True,21,5,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→B
167,8,1000,0.14810507426483818,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→H→H→D→D→E
