step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
206,0.456,0.36,0.96,0.594,0.082,0.628,0.184,0.834
207,0.446,0.343,0.94,0.577,0.072,0.625,0.184,0.831
208,0.436,0.326,0.92,0.56,0.062,0.622,0.184,0.828
209,0.426,0.309,0.9,0.543,0.052,0.619,0.184,0.825
210,0.416,0.292,0.88,0.526,0.042,0.616,0.184,0.822
211,0.406,0.275,0.86,0.509,0.032,0.613,0.184,0.819
212,0.396,0.258,0.84,0.492,0.022,0.61,0.184,0.816
213,0.386,0.241,0.82,0.475,0.012,0.607,0.184,0.813
214,0.376,0.224,0.8,0.458,0.002,0.604,0.184,0.81
215,0.366,0.207,0.78,0.441,-0.008,0.601,0.184,0.807
216,0.456,0.149,0.61,0.383,0.992,0.557,0.034,0.763
217,0.546,0.091,0.44,0.325,1.0,0.513,-0.116,0.719
218,0.386,-0.003,0.52,0.231,0.84,0.433,0.884,0.639
219,0.226,-0.097,0.6,0.137,0.68,0.353,1.0,0.559
220,0.175,0.903,0.503,0.02,0.629,0.45,0.923,0.456
221,0.124,1.0,0.406,-0.097,0.578,0.547,0.846,0.353
222,0.073,0.883,0.309,0.903,0.527,0.444,0.769,0.45
223,0.022,0.766,0.212,1.0,0.476,0.341,0.692,0.547
224,0.012,0.749,0.192,0.983,0.466,0.338,0.692,0.544
225,0.002,0.732,0.172,0.966,0.456,0.335,0.692,0.541
226,-0.008,0.715,0.152,0.949,0.446,0.332,0.692,0.538
227,0.992,0.657,-0.018,0.891,0.536,0.288,0.542,0.494
228,1.0,0.599,-0.188,0.833,0.626,0.244,0.392,0.45
229,0.84,0.505,0.812,0.739,0.466,0.164,0.492,0.37
230,0.68,0.411,1.0,0.645,0.306,0.084,0.592,0.29
231,0.67,0.394,0.98,0.628,0.296,0.081,0.592,0.287
232,0.66,0.377,0.96,0.611,0.286,0.078,0.592,0.284
233,0.65,0.36,0.94,0.594,0.276,0.075,0.592,0.281
234,0.64,0.343,0.92,0.577,0.266,0.072,0.592,0.278
235,0.63,0.326,0.9,0.56,0.256,0.069,0.592,0.275
236,0.62,0.309,0.88,0.543,0.246,0.066,0.592,0.272
237,0.61,0.292,0.86,0.526,0.236,0.063,0.592,0.269
238,0.6,0.275,0.84,0.509,0.226,0.06,0.592,0.266
239,0.59,0.258,0.82,0.492,0.216,0.057,0.592,0.263
240,0.58,0.241,0.8,0.475,0.206,0.054,0.592,0.26
241,0.57,0.224,0.78,0.458,0.196,0.051,0.592,0.257
242,0.56,0.207,0.76,0.441,0.186,0.048,0.592,0.254
