seed,pattern,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions
224,motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_2,21,8,2,"[8, 260]"
225,motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_7→motive_7→motive_6,21,10,50,"[10, 16, 22, 28, 34, 40, 46, 52, 58, 64]"
226,motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7,18,134,2,"[134, 200]"
227,motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_7→motive_7→motive_6,21,14,45,"[14, 20, 26, 32, 38, 44, 50, 56, 62, 68]"
228,motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_2,21,0,2,"[0, 274]"
229,motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_1→motive_1→motive_8,21,30,3,"[30, 116, 170]"
230,motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5,21,2,70,"[2, 12, 22, 32, 42, 52, 62, 72, 82, 92]"
231,motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_8,21,22,2,"[22, 64]"
232,motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_1,21,24,2,"[24, 128]"
233,motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2,21,0,54,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
234,motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1,21,130,2,"[130, 136]"
235,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_4,21,32,8,"[32, 56, 90, 134, 168, 202, 236, 280]"
236,motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_3,21,6,2,"[6, 100]"
237,motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_3,21,6,8,"[6, 46, 76, 106, 136, 166, 196, 236]"
238,motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_2,21,32,2,"[32, 64]"
239,motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_1,21,0,5,"[0, 14, 46, 60, 74]"
240,motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_2,21,48,2,"[48, 114]"
241,motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_6→motive_6→motive_8→motive_8→motive_4→motive_4→motive_6→motive_6→motive_8,21,22,2,"[22, 148]"
242,motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_5,21,12,2,"[12, 290]"
243,motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1,21,10,91,"[10, 14, 18, 22, 26, 30, 34, 38, 42, 46]"
244,motive_2→motive_2→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_2,21,40,5,"[40, 92, 144, 196, 248]"
245,motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_6,21,14,2,"[14, 218]"
246,motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_1→motive_1→motive_7,21,0,5,"[0, 92, 122, 190, 280]"
247,motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4,21,4,3,"[4, 34, 92]"
248,motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_4→motive_4→motive_5,21,0,9,"[0, 10, 52, 94, 104, 114, 156, 198, 208]"
249,motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_2,21,6,73,"[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
250,motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_4,21,14,5,"[14, 22, 30, 38, 46]"
251,motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4,21,0,195,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
252,motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_6→motive_6→motive_8→motive_8→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_6→motive_6→motive_8→motive_8→motive_2,21,8,6,"[8, 48, 118, 158, 188, 228]"
253,motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6,21,4,71,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 40]"
254,motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_7,21,0,22,"[0, 12, 24, 36, 48, 60, 72, 84, 96, 108]"
255,motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_7,21,10,2,"[10, 114]"
256,motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_7,21,0,2,"[0, 126]"
257,motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_1,21,0,25,"[0, 24, 48, 72, 96, 120, 144, 168, 192, 216]"
258,motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4,21,2,45,"[2, 6, 10, 14, 18, 22, 48, 52, 56, 60]"
259,motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_2,21,16,2,"[16, 96]"
260,motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1,21,14,3,"[14, 80, 182]"
261,motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_7,21,4,3,"[4, 116, 222]"
262,motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_1,21,2,3,"[2, 172, 262]"
263,motive_6→motive_6→motive_3→motive_3→motive_7→motive_7→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_4→motive_4→motive_6→motive_6→motive_3,21,8,2,"[8, 232]"
264,motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_4→motive_4→motive_8→motive_8→motive_5,21,0,2,"[0, 148]"
265,motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_1,21,6,11,"[6, 20, 34, 48, 62, 76, 148, 162, 176, 190]"
266,motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_1→motive_1→motive_2,21,2,106,"[2, 6, 10, 14, 18, 22, 26, 30, 34, 38]"
267,motive_6→motive_6→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_4,21,36,3,"[36, 156, 232]"
268,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_6,21,6,2,"[6, 148]"
269,motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_7→motive_7→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_3,21,18,2,"[18, 162]"
270,motive_3→motive_3→motive_8→motive_8→motive_2→motive_2→motive_5→motive_5→motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_8→motive_8→motive_3,21,0,7,"[0, 38, 76, 114, 152, 190, 228]"
271,motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4,21,0,120,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
272,motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_1,21,2,28,"[2, 10, 18, 26, 34, 42, 50, 58, 66, 74]"
273,motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_8,21,30,4,"[30, 92, 182, 272]"
274,motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_3→motive_3→motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_3→motive_3→motive_1→motive_1→motive_2,21,0,2,"[0, 104]"
275,motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2,21,46,63,"[46, 50, 54, 58, 62, 66, 70, 74, 78, 82]"
276,motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8,21,10,3,"[10, 66, 122]"
277,motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_4→motive_4→motive_8,21,10,2,"[10, 226]"
278,motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_1→motive_1→motive_6,21,24,2,"[24, 178]"
279,motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_6,21,6,5,"[6, 40, 86, 132, 226]"
280,motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_5,21,2,20,"[2, 12, 22, 32, 42, 52, 78, 88, 114, 124]"
281,motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_8,21,84,4,"[84, 100, 160, 176]"
282,motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_8→motive_8→motive_7,21,32,2,"[32, 220]"
283,motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_4→motive_4→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_4,21,4,2,"[4, 222]"
284,motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_2→motive_2→motive_8,21,16,2,"[16, 90]"
285,motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_3,21,0,20,"[0, 14, 32, 50, 64, 82, 96, 114, 132, 146]"
286,motive_2→motive_2→motive_5→motive_5→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_7,21,20,2,"[20, 180]"
287,motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2,21,2,243,"[2, 6, 10, 14, 18, 22, 26, 30, 34, 38]"
288,motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4,21,2,62,"[2, 6, 10, 14, 18, 22, 26, 30, 34, 38]"
289,motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_8,21,0,10,"[0, 28, 56, 84, 112, 140, 168, 196, 224, 252]"
290,motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_6,21,28,4,"[28, 136, 194, 252]"
291,motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_8,21,6,5,"[6, 54, 124, 194, 264]"
292,motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_2,21,12,153,"[12, 16, 20, 24, 28, 32, 36, 40, 44, 48]"
293,motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_5→motive_5→motive_8→motive_8→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_5,21,0,3,"[0, 52, 250]"
294,motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3,21,2,22,"[2, 26, 50, 74, 98, 122, 146, 170, 190, 214]"
295,motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_5,21,6,6,"[6, 38, 90, 208, 320, 372]"
296,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5,21,18,3,"[18, 90, 122]"
297,motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_8,21,10,39,"[10, 16, 22, 28, 34, 40, 46, 52, 58, 64]"
298,motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_2,21,4,2,"[4, 254]"
299,motive_1→motive_1→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_2→motive_2→motive_1→motive_1→motive_5,21,42,2,"[42, 142]"
300,motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3,21,14,8,"[14, 42, 70, 98, 126, 192, 220, 248]"
301,motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_5,21,16,2,"[16, 158]"
302,motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_7,21,0,2,"[0, 188]"
303,motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_5→motive_5→motive_6,21,10,2,"[10, 152]"
304,motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5,21,4,19,"[4, 22, 36, 50, 68, 82, 100, 114, 128, 146]"
305,motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4,21,0,62,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
306,motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_7,21,56,2,"[56, 188]"
307,motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_3→motive_3→motive_2,21,28,95,"[28, 32, 36, 40, 44, 48, 52, 56, 60, 64]"
308,motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1,21,0,2,"[0, 180]"
309,motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_7→motive_7→motive_5,21,22,3,"[22, 110, 198]"
310,motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_7,21,18,3,"[18, 112, 190]"
311,motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_8,21,20,2,"[20, 212]"
312,motive_2→motive_2→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_7,21,4,31,"[4, 30, 38, 64, 72, 80, 88, 96, 104, 112]"
313,motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5→motive_5→motive_2→motive_2→motive_5,21,2,27,"[2, 20, 34, 48, 80, 94, 108, 122, 140, 154]"
314,motive_5→motive_5→motive_3→motive_3→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_7→motive_7→motive_3,21,6,3,"[6, 186, 262]"
315,motive_1→motive_1→motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_8,21,18,3,"[18, 58, 188]"
316,motive_7→motive_7→motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_1,21,28,2,"[28, 198]"
317,motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_4,21,16,6,"[16, 104, 130, 156, 244, 270]"
318,motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_7,21,12,6,"[12, 52, 104, 150, 196, 242]"
319,motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_2→motive_2→motive_5→motive_5→motive_8→motive_8→motive_2→motive_2→motive_4,21,10,3,"[10, 184, 278]"
320,motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1,21,0,10,"[0, 10, 54, 64, 144, 182, 192, 202, 268, 278]"
321,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,21,0,11,"[0, 26, 48, 74, 96, 122, 148, 170, 196, 218]"
322,motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_2,21,56,2,"[56, 72]"
323,motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_5,21,16,5,"[16, 56, 96, 136, 176]"
324,motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7,21,0,4,"[0, 64, 112, 170]"
325,motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_5,21,4,78,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 40]"
326,motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7,21,0,72,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
327,motive_1→motive_1→motive_4→motive_4→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_8,21,0,4,"[0, 80, 160, 240]"
328,motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_6,21,0,8,"[0, 34, 68, 102, 136, 170, 204, 238]"
