step,motive,satisfaction
60,motive_6,-0.71
60,motive_7,-1.0
60,motive_8,-1.0
61,motive_1,-0.028999999999999915
61,motive_2,0.642
61,motive_3,-1.0
61,motive_4,-0.8460000000000001
61,motive_5,0.258
61,motive_6,-0.752
61,motive_7,-1.0
61,motive_8,0.0
62,motive_1,-0.3359999999999999
62,motive_2,0.28400000000000003
62,motive_3,-1.0
62,motive_4,-0.6920000000000002
62,motive_5,0.13
62,motive_6,-0.794
62,motive_7,-1.0
62,motive_8,1.0
63,motive_1,-0.5379999999999999
63,motive_2,-0.021999999999999992
63,motive_3,-1.0
63,motive_4,0.30799999999999983
63,motive_5,-0.152
63,motive_6,-0.982
63,motive_7,-1.0
63,motive_8,1.0
64,motive_1,-0.74
64,motive_2,-0.328
64,motive_3,-1.0
64,motive_4,1.0
64,motive_5,-0.43399999999999994
64,motive_6,-1.0
64,motive_7,-1.0
64,motive_8,1.0
65,motive_1,-1.0
65,motive_2,0.6719999999999999
65,motive_3,-1.0
65,motive_4,0.836
65,motive_5,-0.6159999999999999
65,motive_6,-1.0
65,motive_7,-1.0
65,motive_8,0.642
66,motive_1,-1.0
66,motive_2,1.0
66,motive_3,-1.0
66,motive_4,0.6719999999999999
66,motive_5,-0.7979999999999998
66,motive_6,-1.0
66,motive_7,-1.0
66,motive_8,0.28400000000000003
67,motive_1,-1.0
67,motive_2,0.555
67,motive_3,-1.0
67,motive_4,0.484
67,motive_5,-1.0
67,motive_6,0.0
67,motive_7,-1.0
67,motive_8,0.09999999999999998
68,motive_1,-1.0
68,motive_2,0.11000000000000004
68,motive_3,-1.0
68,motive_4,0.296
68,motive_5,-1.0
68,motive_6,1.0
68,motive_7,-1.0
68,motive_8,-0.08400000000000005
69,motive_1,-1.0
69,motive_2,-0.243
69,motive_3,-0.9710000000000001
69,motive_4,-0.015000000000000013
69,motive_5,0.0
69,motive_6,0.527
69,motive_7,-1.0
69,motive_8,-0.38300000000000006
70,motive_1,-1.0
70,motive_2,-0.5960000000000001
70,motive_3,-0.9420000000000002
70,motive_4,-0.326
70,motive_5,1.0
70,motive_6,0.05400000000000005
