step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
132,0.94,0.337,0.138,0.034,0.252,0.562,0.697,0.794
133,0.92,0.31,0.108,0.007,0.232,0.549,0.687,0.781
134,0.9,0.283,0.078,-0.02,0.212,0.536,0.677,0.768
135,0.938,0.356,0.19,0.98,0.334,0.623,0.725,0.755
136,0.976,0.429,0.302,1.0,0.456,0.71,0.773,0.742
137,0.956,0.402,0.272,0.973,0.436,0.697,0.763,0.729
138,0.936,0.375,0.242,0.946,0.416,0.684,0.753,0.716
139,0.916,0.348,0.212,0.919,0.396,0.671,0.743,0.703
140,0.896,0.321,0.182,0.892,0.376,0.658,0.733,0.69
141,0.876,0.294,0.152,0.865,0.356,0.645,0.723,0.677
142,0.856,0.267,0.122,0.838,0.336,0.632,0.713,0.664
143,0.836,0.24,0.092,0.811,0.316,0.619,0.703,0.651
144,0.816,0.213,0.062,0.784,0.296,0.606,0.693,0.638
145,0.796,0.186,0.032,0.757,0.276,0.593,0.683,0.625
146,0.776,0.159,0.002,0.73,0.256,0.58,0.673,0.612
147,0.756,0.132,-0.028,0.703,0.236,0.567,0.663,0.599
148,0.836,0.219,0.972,0.818,0.316,0.64,0.733,0.644
149,0.916,0.306,1.0,0.933,0.396,0.713,0.803,0.689
150,0.896,0.279,0.97,0.906,0.376,0.7,0.793,0.676
151,0.876,0.252,0.94,0.879,0.356,0.687,0.783,0.663
152,0.856,0.225,0.91,0.852,0.336,0.674,0.773,0.65
153,0.836,0.198,0.88,0.825,0.316,0.661,0.763,0.637
154,0.816,0.171,0.85,0.798,0.296,0.648,0.753,0.624
155,0.796,0.144,0.82,0.771,0.276,0.635,0.743,0.611
156,0.776,0.117,0.79,0.744,0.256,0.622,0.733,0.598
157,0.756,0.09,0.76,0.717,0.236,0.609,0.723,0.585
158,0.736,0.063,0.73,0.69,0.216,0.596,0.713,0.572
159,0.716,0.036,0.7,0.663,0.196,0.583,0.703,0.559
160,0.696,0.009,0.67,0.636,0.176,0.57,0.693,0.546
161,0.676,-0.018,0.64,0.609,0.156,0.557,0.683,0.533
162,0.77,0.982,0.724,0.682,0.222,0.624,0.759,0.62
163,0.864,1.0,0.808,0.755,0.288,0.691,0.835,0.707
164,0.844,0.973,0.778,0.728,0.268,0.678,0.825,0.694
165,0.824,0.946,0.748,0.701,0.248,0.665,0.815,0.681
166,0.804,0.919,0.718,0.674,0.228,0.652,0.805,0.668
167,0.784,0.892,0.688,0.647,0.208,0.639,0.795,0.655
