seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences,pattern_structure
641,8,2000,0.3089649884702532,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→E→E→A→A→B
642,8,2000,0.3804120250923288,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→C→C→A→A→B→B→A→A→C→C→B→B→A
643,8,2000,0.35858456878056916,1,0.2,0.3,0.2,0.3,True,21,12,A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A
644,8,2000,0.34146974747251185,1,0.2,0.3,0.2,0.3,True,21,486,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
645,8,2000,0.3813027070281256,1,0.2,0.3,0.2,0.3,True,21,16,A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→C→C→B
646,8,2000,0.30990896807094426,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→C→C→D→D→E→E→A→A→C→C→B→B→A→A→B
647,8,2000,0.34940172035681905,1,0.2,0.3,0.2,0.3,True,21,30,A→A→B→B→A→A→C→C→D→D→A→A→B→B→C→C→A→A→B→B→A
648,8,2000,0.315764200837683,1,0.2,0.3,0.2,0.3,True,21,32,A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→B
649,8,2000,0.2824739893798562,1,0.2,0.3,0.2,0.3,True,21,490,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
650,8,2000,0.34301051112591746,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→D→D→C
651,8,2000,0.29442097587663885,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A→A→B→B→A
652,8,2000,0.30877090512530314,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→C→C→D→D→A→A→C→C→B→B→A→A→D→D→C→C→B
653,8,2000,0.36317969233805264,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→B→B→C→C→D→D→A→A→B→B→C→C→B
654,8,2000,0.39294047156037554,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→A→A→B→B→D
655,8,2000,0.3490935556511877,1,0.2,0.3,0.2,0.3,True,21,33,A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→C
656,8,2000,0.3746286168815058,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C→C→A
657,8,2000,0.3422899511356404,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→D→D→C
658,8,2000,0.349977166512992,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→E→E→D→D→E→E→F→F→G→G→E→E→F
659,8,2000,0.3571076774011533,1,0.2,0.3,0.2,0.3,True,21,6,A→A→B→B→C→C→B→B→C→C→B→B→A→A→B→B→C→C→B→B→C
660,8,2000,0.38686493718403153,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→D→D→E→E→F→F→D→D→E
661,8,2000,0.38574911252005845,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→C
662,8,2000,0.3516352767529422,1,0.2,0.3,0.2,0.3,True,21,37,A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B
663,8,2000,0.3395077441044913,1,0.2,0.3,0.2,0.3,True,21,15,A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→A→A→B
664,8,2000,0.28840703838042553,1,0.2,0.3,0.2,0.3,True,21,6,A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→A→A→C→C→B
665,8,2000,0.2671774206637175,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→C→C→D→D→A
666,8,2000,0.34864828868951775,1,0.2,0.3,0.2,0.3,True,21,10,A→A→B→B→C→C→B→B→C→C→D→D→A→A→B→B→C→C→B→B→C
667,8,2000,0.3183542480942466,1,0.2,0.3,0.2,0.3,True,21,12,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C→C→B→B→A
668,8,2000,0.35028255059965324,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→B→B→C→C→D
669,8,2000,0.39929261365584395,1,0.2,0.3,0.2,0.3,True,21,8,A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→A→A→C→C→D
670,8,2000,0.30391382234070674,1,0.2,0.3,0.2,0.3,True,21,485,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
